Screen size,Screen type,Chip,RAM,ROM,Batery,OS,Screen resolution,Price,Mobile network,Camera count,Camera max MP
6.67,IPS LCD,snapdragon,6144.0,65536.0,5160.0,android,2592000.0,5000,5.0,0,108.0
6.5,PLS TFT LCD,snapdragon,6144.0,131072.0,5000.0,android,1152000.0,3190,5.0,0,108.0
5.4,OLED,apple,4096.0,524288.0,2406.0,ios,2527200.0,23000,5.0,0,108.0
6.2,PLS TFT LCD,snapdragon,2048.0,32768.0,5000.0,android,1094400.0,790,5.0,0,108.0
6.39,PLS TFT LCD,snapdragon,8192.0,131072.0,4500.0,ios,2527200.0,5490,5.0,0,108.0
6.53,IPS LCD,mediatek helio,3072.0,32768.0,5000.0,android,2592000.0,2790,5.0,0,108.0
5.4,OLED,apple,4096.0,262144.0,2406.0,ios,2527200.0,19500,5.0,0,108.0
6.53,IPS LCD,mediatek helio,3072.0,32768.0,5000.0,android,2592000.0,2790,5.0,0,108.0
6.39,PLS TFT LCD,mediatek helio,2048.0,65536.0,4020.0,ios,2527200.0,2690,5.0,0,108.0
4.7,PLS TFT LCD,apple,2048.0,65536.0,1821.0,ios,1000500.0,10020,5.0,0,108.0
6.52,IPS LCD,unisoc,2048.0,65536.0,5050.0,android,1152000.0,2690,5.0,0,108.0
6.2,PLS TFT LCD,exynos,2048.0,131072.0,3500.0,ios,4262400.0,15890,5.0,0,108.0
6.1,OLED,apple,6144.0,1048576.0,3095.0,ios,2962440.0,40000,5.0,0,108.0
6.51,IPS LCD,mediatek helio,6144.0,131072.0,5000.0,android,1152000.0,4650,5.0,0,108.0
5.5,PLS TFT LCD,exynos,2048.0,32768.0,3300.0,ios,2073600.0,3790,5.0,0,108.0
5.5,IPS LCD,apple,3072.0,131072.0,2900.0,ios,2073600.0,10020,5.0,0,108.0
7.6,PLS TFT LCD,snapdragon,12288.0,262144.0,4500.0,android,3903744.0,23000,5.0,0,108.0
4.7,IPS LCD,apple,3072.0,262144.0,1750.0,ios,1000500.0,16490,5.0,0,108.0
6.2,PLS TFT LCD,exynos,2048.0,65536.0,3500.0,ios,4262400.0,13090,5.0,0,108.0
6.67,IPS LCD,snapdragon,6144.0,131072.0,5020.0,android,2592000.0,6200,5.0,0,108.0
7.6,PLS TFT LCD,snapdragon,12288.0,262144.0,4500.0,android,3903744.0,23000,5.0,0,108.0
6.52,IPS LCD,mediatek,6144.0,131072.0,6000.0,android,1152000.0,3490,5.0,0,108.0
6.2,PLS TFT LCD,snapdragon,3072.0,32768.0,5000.0,android,1094400.0,2500,5.0,0,108.0
